IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,BFA,Burkina Faso,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.28,,,0.21,,0.36,0.28 [0.21 – 0.36],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BRA,Brazil,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.28,,,0.25,,0.3,0.28 [0.25 – 0.30],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,PRY,Paraguay,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.28,,,0.25,,0.32,0.28 [0.25 – 0.32],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,BFA,Burkina Faso,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.29,,,0.22,,0.37,0.29 [0.22 – 0.37],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,CHL,Chile,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.29,,,0.23,,0.33,0.29 [0.23 – 0.33],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BRB,Barbados,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.29,,,0.25,,0.35,0.29 [0.25 – 0.35],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,BFA,Burkina Faso,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.3,,,0.23,,0.39,0.30 [0.23 – 0.39],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.31,,,0.25,,0.4,0.31 [0.25 – 0.40],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.31,,,0.27,,0.35,0.31 [0.27 – 0.35],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.32,,,0.23,,0.45,0.32 [0.23 – 0.45],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,CUB,Cuba,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.32,,,0.26,,0.38,0.32 [0.26 – 0.38],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,CPV,Cabo Verde,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.33,,,0.27,,0.43,0.33 [0.27 – 0.43],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.33,,,0.29,,0.35,0.33 [0.29 – 0.35],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,ETH,Ethiopia,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.35,,,0.2,,0.7,0.35 [0.20 – 0.70],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,PAN,Panama,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.35,,,0.31,,0.39,0.35 [0.31 – 0.39],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,THA,Thailand,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.35,,,0.32,,0.39,0.35 [0.32 – 0.39],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,CRI,Costa Rica,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.36,,,0.3,,0.41,0.36 [0.30 – 0.41],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,LVA,Latvia,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.36,,,0.31,,0.41,0.36 [0.31 – 0.41],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.36,,,0.32,,0.4,0.36 [0.32 – 0.40],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,BEN,Benin,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.37,,,0.3,,0.46,0.37 [0.30 – 0.46],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BHS,Bahamas,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.37,,,0.31,,0.43,0.37 [0.31 – 0.43],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,CPV,Cabo Verde,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.38,,,0.31,,0.48,0.38 [0.31 – 0.48],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.41,,,0.36,,0.46,0.41 [0.36 – 0.46],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,ETH,Ethiopia,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.42,,,0.24,,0.81,0.42 [0.24 – 0.81],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,BEN,Benin,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.42,,,0.34,,0.53,0.42 [0.34 – 0.53],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,CPV,Cabo Verde,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.42,,,0.34,,0.55,0.42 [0.34 – 0.55],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.42,,,0.35,,0.48,0.42 [0.35 – 0.48],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,BDI,Burundi,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.43,,,0.32,,0.58,0.43 [0.32 – 0.58],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,MLI,Mali,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.45,,,0.36,,0.6,0.45 [0.36 – 0.60],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BRB,Barbados,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.45,,,0.37,,0.53,0.45 [0.37 – 0.53],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,DOM,Dominican Republic,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.46,,,0.34,,0.59,0.46 [0.34 – 0.59],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,COL,Colombia,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.46,,,0.35,,0.63,0.46 [0.35 – 0.63],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,GUY,Guyana,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.47,,,0.27,,0.9,0.47 [0.27 – 0.90],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,BEN,Benin,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.47,,,0.38,,0.6,0.47 [0.38 – 0.60],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BHS,Bahamas,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.47,,,0.4,,0.54,0.47 [0.40 – 0.54],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,BDI,Burundi,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.48,,,0.36,,0.65,0.48 [0.36 – 0.65],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,DOM,Dominican Republic,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.49,,,0.36,,0.62,0.49 [0.36 – 0.62],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.49,,,0.4,,0.64,0.49 [0.40 – 0.64],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,PAN,Panama,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.49,,,0.41,,0.55,0.49 [0.41 – 0.55],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.52,,,0.37,,0.71,0.52 [0.37 – 0.71],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,DOM,Dominican Republic,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.52,,,0.38,,0.68,0.52 [0.38 – 0.68],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,MLI,Mali,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.52,,,0.43,,0.7,0.52 [0.43 – 0.70],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,JAM,Jamaica,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.53,,,0.45,,0.64,0.53 [0.45 – 0.64],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,BDI,Burundi,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.54,,,0.4,,0.7,0.54 [0.40 – 0.70],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BLZ,Belize,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.54,,,0.47,,0.61,0.54 [0.47 – 0.61],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.56,,,0.45,,0.71,0.56 [0.45 – 0.71],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BHS,Bahamas,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.58,,,0.46,,0.68,0.58 [0.46 – 0.68],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,MLI,Mali,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.59,,,0.48,,0.81,0.59 [0.48 – 0.81],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,GUY,Guyana,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.62,,,0.36,,1.1,0.62 [0.36 – 1.10],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.62,,,0.5,,0.79,0.62 [0.50 – 0.79],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,SUR,Suriname,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.62,,,0.52,,0.73,0.62 [0.52 – 0.73],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BLZ,Belize,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.62,,,0.55,,0.68,0.62 [0.55 – 0.68],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BRB,Barbados,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.63,,,0.48,,0.78,0.63 [0.48 – 0.78],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,TCD,Chad,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.64,,,0.5,,0.82,0.64 [0.50 – 0.82],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,JAM,Jamaica,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.64,,,0.55,,0.75,0.64 [0.55 – 0.75],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.69,,,0.59,,0.83,0.69 [0.59 – 0.83],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,TCD,Chad,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.7,,,0.54,,0.88,0.70 [0.54 – 0.88],,,EN,2025-07-10T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,BLZ,Belize,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.7,,,0.59,,0.81,0.70 [0.59 – 0.81],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.73,,,0.51,,0.99,0.73 [0.51 – 0.99],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,HTI,Haiti,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.73,,,0.61,,0.93,0.73 [0.61 – 0.93],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,GHA,Ghana,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.75,,,0.61,,0.96,0.75 [0.61 – 0.96],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,JAM,Jamaica,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.75,,,0.62,,0.9,0.75 [0.62 – 0.90],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,TCD,Chad,Year,2010,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.76,,,0.59,,0.97,0.76 [0.59 – 0.97],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AMR,Americas,Country,GUY,Guyana,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.77,,,0.44,,1.4,0.77 [0.44 – 1.40],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,AFR,Africa,Country,NGA,Nigeria,Year,2010,false,Sex,Male,SEX_MLE,,,,,,,,,,0.77,,,0.68,,0.96,0.77 [0.68 – 0.96],,,EN,2025-07-16T18:30:00.000Z
SDGHIV,New HIV infections (per 1000 uninfected population),text,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2010,false,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.79,,,0.68,,0.92,0.79 [0.68 – 0.92],,,EN,2025-07-10T18:30:00.000Z
